,date,clientName,clientType,productId,productName,productCategory,productPrice,saleAmount,saleDiscount
60,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
61,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
62,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
63,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
64,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
65,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
66,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
67,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
68,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
69,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
70,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
71,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
72,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
73,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
74,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
75,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
76,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
77,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
78,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
79,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
80,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
81,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
82,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
83,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
84,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
85,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
86,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
87,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
88,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
89,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
90,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
91,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
92,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
93,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
94,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
95,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
96,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
97,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
98,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
99,2024-01-01,John Doe,Premium,12345,Widget Deluxe,Gadgets,$199.99,50 units,10%
